Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
63,MNQ SEP25,Backtest,CointegratedPairs,Long,7,21046.25,21040.00,5/23/2025 9:00:00 AM,5/23/2025 9:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),$9855.16,$12.18,$87.50,$0.00,$99.68,1,
64,MES SEP25,Backtest,CointegratedPairs,Short,7,5828.50,5834.75,5/23/2025 9:00:00 AM,5/23/2025 9:00:00 AM,MES SEP25 Initial,Stop loss,($230.93),$9624.23,$12.18,$218.75,$0.00,$230.93,1,
65,MNQ SEP25,Backtest,CointegratedPairs,Long,7,21013.25,21007.00,5/23/2025 10:00:00 AM,5/23/2025 10:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),$9524.55,$12.18,$87.50,$0.00,$99.68,1,
66,MES SEP25,Backtest,CointegratedPairs,Short,7,5827.50,5833.75,5/23/2025 10:00:00 AM,5/23/2025 10:00:00 AM,MES SEP25 Initial,Stop loss,($230.93),$9293.62,$12.18,$218.75,$0.00,$230.93,1,
67,MNQ SEP25,Backtest,CointegratedPairs,Short,7,21978.00,21984.25,5/28/2025 9:00:00 PM,5/28/2025 9:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$9193.94,$12.18,$87.50,$0.00,$99.68,1,
68,MES SEP25,Backtest,CointegratedPairs,Long,7,6044.75,6038.50,5/28/2025 9:00:00 PM,5/28/2025 9:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$8963.01,$12.18,$218.75,$0.00,$230.93,1,
69,MES SEP25,Backtest,CointegratedPairs,Long,7,6053.00,6046.75,5/28/2025 10:00:00 PM,5/28/2025 10:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$8732.08,$12.18,$218.75,$0.00,$230.93,1,
70,MNQ SEP25,Backtest,CointegratedPairs,Short,7,22032.75,22006.00,5/28/2025 10:00:00 PM,5/28/2025 11:00:00 PM,MNQ SEP25 Initial,Exit Short MNQ SEP25,$362.32,$9094.40,$12.18,$21.00,$959.00,$596.68,2,
71,MNQ SEP25,Backtest,CointegratedPairs,Short,7,22132.00,22019.50,6/5/2025 1:00:00 PM,6/5/2025 1:00:00 PM,MNQ SEP25 Initial,Profit target,$1562.82,$10657.22,$12.18,$0.00,$1575.00,$12.18,1,
72,MES SEP25,Backtest,CointegratedPairs,Long,7,6059.00,6052.75,6/5/2025 1:00:00 PM,6/5/2025 1:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$10426.29,$12.18,$218.75,$0.00,$230.93,1,
73,MNQ SEP25,Backtest,CointegratedPairs,Short,7,22178.25,22159.75,6/9/2025 11:00:00 PM,6/10/2025 12:00:00 AM,MNQ SEP25 Initial,Partial Exit Short MES SEP25,$246.82,$10673.11,$12.18,$28.00,$311.50,$64.68,2,
74,MES SEP25,Backtest,CointegratedPairs,Long,7,6091.50,6090.50,6/9/2025 11:00:00 PM,6/10/2025 12:00:00 AM,MES SEP25 Initial,Partial Exit Long MES SEP25,($47.18),$10625.93,$12.18,$131.25,$70.00,$117.18,2,
75,MNQ SEP25,Backtest,CointegratedPairs,Long,7,21779.00,21772.75,6/12/2025 10:00:00 PM,6/12/2025 10:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$10526.25,$12.18,$87.50,$0.00,$99.68,1,
76,MES SEP25,Backtest,CointegratedPairs,Short,7,6012.50,6018.75,6/12/2025 10:00:00 PM,6/12/2025 10:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$10295.32,$12.18,$218.75,$0.00,$230.93,1,
77,MNQ SEP25,Backtest,CointegratedPairs,Long,7,22688.00,22681.75,7/1/2025 12:00:00 PM,7/1/2025 12:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$10195.64,$12.18,$87.50,$0.00,$99.68,1,
78,MES SEP25,Backtest,CointegratedPairs,Short,7,6237.25,6243.50,7/1/2025 12:00:00 PM,7/1/2025 12:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$9964.71,$12.18,$218.75,$0.00,$230.93,1,
79,MNQ SEP25,Backtest,CointegratedPairs,Long,7,22659.50,22653.25,7/1/2025 1:00:00 PM,7/1/2025 1:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$9865.03,$12.18,$87.50,$0.00,$99.68,1,
80,MES SEP25,Backtest,CointegratedPairs,Short,7,6242.25,6248.50,7/1/2025 1:00:00 PM,7/1/2025 1:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$9634.10,$12.18,$218.75,$0.00,$230.93,1,
81,MNQ SEP25,Backtest,CointegratedPairs,Short,7,23085.75,23092.00,7/9/2025 11:00:00 AM,7/9/2025 11:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),$9534.42,$12.18,$87.50,$0.00,$99.68,1,
82,MES SEP25,Backtest,CointegratedPairs,Long,7,6310.00,6303.75,7/9/2025 11:00:00 AM,7/9/2025 11:00:00 AM,MES SEP25 Initial,Stop loss,($230.93),$9303.49,$12.18,$218.75,$0.00,$230.93,1,
83,MNQ SEP25,Backtest,CointegratedPairs,Short,7,23194.25,23200.50,7/17/2025 12:00:00 PM,7/17/2025 12:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$9203.81,$12.18,$87.50,$0.00,$99.68,1,
84,MNQ SEP25,Backtest,CointegratedPairs,Short,7,23249.00,23255.25,7/17/2025 1:00:00 PM,7/17/2025 1:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$9104.13,$12.18,$87.50,$0.00,$99.68,1,
85,MES SEP25,Backtest,CointegratedPairs,Long,7,6318.75,6333.00,7/17/2025 12:00:00 PM,7/17/2025 1:00:00 PM,MES SEP25 Initial,Partial Exit Long MES SEP25,$486.57,$9590.70,$12.18,$8.75,$525.00,$38.43,2,
